temp_c,humidity_pct,weight_kg,sound_db,varroa_count,brood_score,health_label
35.3,69.0,17.4,57.8,11,4,0
31.9,79.8,39.1,71.7,8,5,0
36.4,79.6,25.2,57.7,10,5,0
36.9,59.6,27.4,65.5,3,5,2
29.6,67.3,30.3,60.7,4,4,0
31.2,42.6,17.6,62.4,5,2,0
34.8,66.2,31.3,62.9,3,3,1
33.7,55.5,24.6,57.5,3,4,2
34.5,62.8,30.3,49.7,0,5,2
32.4,44.8,23.4,69.7,3,5,1
36.7,69.9,15.4,77.9,8,4,0
36.4,44.6,24.6,78.6,5,1,0
34.7,66.8,33.1,56.5,6,3,1
37.3,50.3,31.2,54.7,13,4,0
35.7,54.8,28.2,56.5,0,4,2
32.4,78.9,35.2,60.2,12,2,0
35.4,72.1,26.4,61.5,0,3,1
32.1,78.8,28.5,52.0,7,5,2
36.7,83.7,24.2,47.2,1,5,1
34.4,55.7,35.7,62.5,7,2,0
34.0,83.0,30.3,26.7,13,2,0
32.8,47.4,23.5,61.0,0,2,0
37.6,74.0,16.1,52.6,7,4,1
34.1,59.1,36.8,69.8,6,4,1
33.4,53.8,22.0,72.5,6,4,1
33.6,72.4,28.6,72.7,9,3,0
35.8,76.3,46.8,58.5,4,5,1
35.4,76.0,34.4,50.6,11,1,0
35.5,67.6,40.9,53.9,3,3,1
35.6,66.6,23.7,64.9,5,2,0
39.9,71.3,36.6,45.5,7,3,0
33.5,68.6,28.2,75.9,13,5,0
33.2,71.5,30.9,58.7,8,5,0
32.5,67.4,44.2,67.0,12,5,0
36.0,75.1,25.8,44.2,2,3,1
37.3,45.5,28.2,52.7,1,4,1
34.2,63.4,20.8,42.9,7,3,1
32.4,48.4,35.1,72.2,13,1,0
32.4,68.3,23.5,60.4,3,2,0
36.1,84.7,36.2,67.7,3,4,1
36.4,59.3,14.8,62.6,2,1,0
35.9,66.5,32.4,66.7,13,4,0
32.8,74.1,22.9,58.6,1,3,1
35.1,40.2,33.8,60.0,9,3,0
34.8,58.7,27.9,61.1,5,4,1
35.0,69.4,23.7,66.1,6,2,0
36.7,30.2,24.9,66.3,10,2,0
35.1,53.3,21.2,90.1,6,1,0
36.2,78.2,34.7,78.8,0,1,2
34.7,77.0,19.6,44.2,8,1,0
35.2,69.5,25.9,60.6,0,1,0
36.1,75.6,30.8,57.9,12,4,0
