boxes,flora_factor,season_f,health_f,yield_kg
21,4.00,0.85,0.45,31.99
26,5.00,1.00,0.45,57.55
5,7.00,0.70,0.45,13.07
43,6.50,1.00,0.45,127.89
7,4.00,1.00,0.45,8.01
43,6.50,0.70,0.45,90.66
38,6.50,0.70,0.45,76.28
47,4.00,0.85,0.45,72.50
2,5.00,1.00,0.45,2.15
11,5.50,1.00,0.75,46.30
3,7.00,0.70,0.75,17.40
21,4.00,0.70,0.45,26.78
45,4.00,0.70,0.75,93.35
38,5.00,0.70,0.45,59.27
35,6.50,1.00,0.45,98.70
42,6.50,0.70,0.45,89.62
1,7.00,0.85,0.45,3.46
39,4.00,0.70,0.45,46.52
16,4.00,0.85,0.45,21.94
34,7.00,0.70,0.45,75.01
38,5.50,0.70,0.45,68.16
34,4.00,0.70,0.75,68.52
21,5.00,0.85,0.75,69.72
30,7.00,1.00,0.45,94.27
23,4.00,0.85,0.45,32.86
31,5.50,0.85,0.75,107.52
23,5.00,1.00,0.45,56.12
20,6.50,0.70,0.45,37.48
10,5.00,1.00,0.45,20.67
19,7.00,0.85,0.45,53.25
36,4.00,0.70,0.45,45.90
43,4.00,0.70,0.45,52.20
6,6.50,0.85,0.75,27.27
9,5.50,0.70,0.45,18.12
25,7.00,0.70,0.45,55.95
35,7.00,1.00,0.45,108.72
9,6.50,0.70,0.45,17.28
16,4.00,0.85,0.45,25.19
3,6.50,0.85,0.45,4.18
3,5.50,1.00,0.45,10.74
8,7.00,0.85,0.45,25.67
36,7.00,0.70,1.00,175.81
43,5.00,0.70,0.45,68.62
25,6.50,0.70,0.45,54.15
9,7.00,0.70,0.75,37.96
46,7.00,0.85,0.45,127.06
14,5.50,0.70,1.00,49.56
8,7.00,1.00,0.75,41.21
7,5.00,0.70,0.45,12.28
18,5.00,1.00,0.45,39.26
37,7.00,0.85,0.45,103.52
20,5.50,0.70,0.45,38.72
22,5.50,0.70,0.45,36.08
17,7.00,0.70,0.75,62.07
47,6.50,0.70,0.45,94.36
34,5.50,0.85,0.45,71.04
33,5.50,1.00,0.45,81.11
22,4.00,0.70,0.45,30.11
27,5.00,0.85,0.45,49.42
44,5.00,0.70,0.45,62.76
33,6.50,0.85,0.75,132.73
40,5.00,0.70,0.45,60.43
2,5.00,0.85,0.45,2.19
43,4.00,1.00,0.45,77.87
47,4.00,1.00,0.45,81.90
33,6.50,0.70,1.00,147.12
47,5.50,0.70,0.75,133.39
28,5.00,1.00,0.45,60.21
14,5.00,0.70,0.45,20.66
30,5.00,0.70,0.45,45.76
31,5.50,0.85,0.75,110.42
8,7.00,0.70,0.45,15.17
