hive_code,ts,temp_c,humidity_pct,weight_kg,sound_db,battery_pct,varroa_count,brood_score
HIVE-KVIC-001,2026-08-10T06:00:00Z,34.2,62.1,28.4,61.3,98,1,5
HIVE-KVIC-002,2026-08-10T06:15:00Z,35.1,58.4,26.9,64.7,97,0,4
HIVE-KVIC-003,2026-08-10T06:30:00Z,33.8,66.2,31.2,59.8,96,2,5
HIVE-KVIC-001,2026-08-10T09:00:00Z,36.4,60.5,28.6,63.1,96,1,5
HIVE-KVIC-004,2026-08-10T09:15:00Z,34.9,71.3,24.5,68.4,95,3,4
HIVE-KVIC-002,2026-08-10T12:00:00Z,36.8,67.8,27.1,65.2,94,1,4
HIVE-KVIC-003,2026-08-10T12:15:00Z,35.6,59.9,31.4,60.5,95,0,5
HIVE-KVIC-005,2026-08-10T12:30:00Z,33.4,63.7,29.8,62.9,97,2,4
HIVE-KVIC-001,2026-08-10T15:00:00Z,35.9,55.2,28.8,64.0,93,1,5
HIVE-KVIC-004,2026-08-10T15:15:00Z,34.1,74.6,24.7,70.1,94,4,3
HIVE-KVIC-002,2026-08-11T06:00:00Z,33.6,61.0,27.3,62.4,93,0,4
HIVE-KVIC-003,2026-08-11T06:15:00Z,34.7,65.4,31.6,61.2,94,1,5
HIVE-KVIC-005,2026-08-11T09:00:00Z,35.3,68.1,30.1,63.8,95,2,4
HIVE-KVIC-001,2026-08-11T09:15:00Z,36.1,57.3,28.9,62.7,92,1,5
HIVE-KVIC-004,2026-08-11T12:00:00Z,33.9,72.8,24.9,69.5,93,3,3
HIVE-KVIC-002,2026-08-11T12:15:00Z,35.8,62.9,27.5,64.9,92,1,4
HIVE-KVIC-003,2026-08-11T15:00:00Z,34.3,64.5,31.8,60.1,93,0,5
HIVE-KVIC-005,2026-08-11T15:15:00Z,33.5,66.7,30.3,62.1,94,2,4
HIVE-KVIC-001,2026-08-12T06:00:00Z,34.0,63.2,29.1,61.9,91,1,5
HIVE-KVIC-002,2026-08-12T06:15:00Z,35.0,59.1,27.7,65.6,91,0,4
HIVE-KVIC-004,2026-08-12T09:00:00Z,36.6,70.4,25.1,71.2,92,4,3
HIVE-KVIC-003,2026-08-12T09:15:00Z,33.7,67.0,32.0,59.4,92,1,5
HIVE-KVIC-005,2026-08-12T12:00:00Z,34.8,61.8,30.5,63.3,93,1,4
HIVE-KVIC-001,2026-08-12T12:15:00Z,36.2,56.8,29.3,63.5,90,2,4
HIVE-KVIC-002,2026-08-12T15:00:00Z,35.4,64.2,27.9,66.1,90,1,4
HIVE-KVIC-003,2026-08-13T06:00:00Z,34.5,65.9,32.2,60.8,91,0,5
HIVE-KVIC-004,2026-08-13T06:15:00Z,33.3,73.5,25.3,68.9,91,3,3
HIVE-KVIC-005,2026-08-13T09:00:00Z,35.7,60.2,30.7,62.6,92,2,4
HIVE-KVIC-001,2026-08-13T09:15:00Z,36.7,58.9,29.5,64.3,89,1,5
HIVE-KVIC-002,2026-08-13T12:00:00Z,34.6,66.5,28.1,65.0,89,2,4
HIVE-KVIC-003,2026-08-13T12:15:00Z,35.2,62.3,32.4,61.0,90,1,5
HIVE-KVIC-004,2026-08-13T15:00:00Z,33.2,75.1,25.5,70.8,90,5,3
HIVE-KVIC-005,2026-08-13T15:15:00Z,34.4,64.8,30.9,63.0,91,1,4
HIVE-KVIC-001,2026-08-14T06:00:00Z,33.9,61.5,29.7,62.2,88,0,5
HIVE-KVIC-002,2026-08-14T06:15:00Z,35.5,63.4,28.3,66.3,88,1,4
HIVE-KVIC-003,2026-08-14T09:00:00Z,36.0,60.0,32.6,60.3,89,0,5
HIVE-KVIC-004,2026-08-14T09:15:00Z,34.2,71.9,25.7,69.2,89,3,3
HIVE-KVIC-005,2026-08-14T12:00:00Z,33.6,65.1,31.1,62.8,90,2,4
HIVE-KVIC-001,2026-08-14T12:15:00Z,36.3,57.6,29.9,63.9,87,1,5
HIVE-KVIC-002,2026-08-14T15:00:00Z,34.8,66.0,28.5,65.4,87,1,4
HIVE-KVIC-003,2026-08-14T15:15:00Z,35.1,63.8,32.8,61.5,88,0,5
HIVE-KVIC-004,2026-08-14T18:00:00Z,33.8,72.2,25.9,68.7,88,4,3
HIVE-KVIC-005,2026-08-14T18:15:00Z,34.9,62.6,31.3,63.6,89,1,4
HIVE-KVIC-001,2026-08-15T06:00:00Z,35.9,59.4,30.1,62.0,86,2,5
HIVE-KVIC-002,2026-08-15T06:15:00Z,33.4,64.9,28.7,64.8,86,0,4
HIVE-KVIC-003,2026-08-15T09:00:00Z,34.1,66.8,33.0,60.6,87,1,5
HIVE-KVIC-004,2026-08-15T09:15:00Z,36.5,69.8,26.1,71.5,87,5,3
HIVE-KVIC-005,2026-08-15T12:00:00Z,35.3,61.2,31.5,62.3,88,2,4
HIVE-KVIC-001,2026-08-15T12:15:00Z,34.6,60.8,30.3,63.2,85,1,5
HIVE-KVIC-002,2026-08-15T15:00:00Z,36.9,68.5,28.9,65.8,85,2,4
